modzcta,latitude,longitude,cases
10001,40.750693,-73.997137,6287
10002,40.715781,-73.986176,16140
10003,40.731825,-73.989164,11542
10004,40.703675,-74.013106,774
10005,40.706092,-74.008861,1703
10006,40.709651,-74.013044,782
10007,40.713923,-74.007546,1389
10009,40.72638,-73.978704,12387
10010,40.739119,-73.982544,6361
10011,40.741707,-74.000062,10864
10012,40.725576,-73.998078,4476
10013,40.720096,-74.004763,6718
10014,40.73402,-74.006314,5555
10016,40.745174,-73.978319,11487
10017,40.752543,-73.973037,3584
10018,40.755191,-73.992667,3096
10019,40.76528,-73.985974,10537
10021,40.769474,-73.958771,6808
10022,40.758676,-73.968098,5422
10023,40.775901,-73.982658,11124
10024,40.792085,-73.974871,9530
10025,40.798651,-73.966585,17158
10026,40.802341,-73.952521,8078
10027,40.8118,-73.953204,12338
10028,40.776432,-73.953509,7898
10029,40.791777,-73.943969,18511
10030,40.818326,-73.942842,5963
10031,40.825278,-73.950037,11698
10032,40.838768,-73.942824,12171
10033,40.850497,-73.934007,11146
10034,40.867168,-73.924048,7966
10035,40.791,-73.924596,7791
10036,40.75916,-73.989705,9591
10037,40.812957,-73.937419,4586
10038,40.709696,-74.002391,4089
10039,40.830807,-73.936247,5409
10040,40.85831,-73.93049,9002
10044,40.761931,-73.949924,1985
10065,40.764616,-73.963135,6144
10069,40.775924,-73.990256,1460
10075,40.773132,-73.955884,4293
10128,40.781466,-73.950226,10389
10280,40.709318,-74.016654,1267
10282,40.716409,-74.015077,817
10301,40.628224,-74.096232,10558
10302,40.630598,-74.137891,5664
10303,40.632135,-74.169166,7772
10304,40.605985,-74.0943,12350
10305,40.595474,-74.075437,12449
10306,40.571571,-74.125541,17027
10307,40.507771,-74.24227,4632
10308,40.551574,-74.150454,8863
10309,40.531355,-74.220574,11004
10310,40.632398,-74.11618,6763
10312,40.545128,-74.18169,19265
10314,40.599333,-74.166462,25106
10451,40.820705,-73.923865,12364
10452,40.837364,-73.923461,17789
10453,40.852304,-73.913578,18032
10454,40.805487,-73.916605,9534
10455,40.8147,-73.908583,10499
10456,40.829884,-73.908121,19329
10457,40.847151,-73.898676,16909
10458,40.862531,-73.88817,18210
10459,40.82584,-73.892976,11237
10460,40.841753,-73.879584,14240
10461,40.847415,-73.840601,12757
10462,40.842874,-73.858772,18280
10463,40.880824,-73.906514,14463
10464,40.872311,-73.804653,818
10465,40.823931,-73.822886,10468
10466,40.890965,-73.845912,14970
10467,40.880939,-73.873956,24521
10468,40.868161,-73.899844,18365
10469,40.86876,-73.846984,15251
10470,40.895986,-73.86802,3374
10471,40.899509,-73.901518,4387
10472,40.829561,-73.869393,15911
10473,40.818135,-73.858718,15445
10474,40.810595,-73.884618,2482
10475,40.868941,-73.824854,8319
11004,40.748068,-73.710907,3252
11101,40.747077,-73.938586,9199
11102,40.772498,-73.925912,7460
11103,40.762536,-73.913541,9111
11104,40.744658,-73.920205,5439
11105,40.778969,-73.906286,7420
11106,40.761792,-73.931771,8487
11109,40.746211,-73.956999,1275
11201,40.694609,-73.989581,11806
11203,40.649576,-73.934363,15651
11204,40.618774,-73.984824,16620
11205,40.694625,-73.966212,9284
11206,40.701957,-73.942361,20239
11207,40.670819,-73.894255,22681
11208,40.668385,-73.871084,24422
11209,40.621811,-74.030011,14979
11210,40.628165,-73.946316,13145
11211,40.712334,-73.953851,24306
11212,40.662935,-73.913011,19956
11213,40.671074,-73.93633,15044
11214,40.598729,-73.99621,19299
11215,40.66252,-73.986872,10064
11216,40.680785,-73.94931,11260
11217,40.682417,-73.97938,7738
11218,40.64348,-73.976044,16096
11219,40.632662,-73.996666,19493
11220,40.641081,-74.016495,23430
11221,40.691339,-73.927885,18553
11222,40.728292,-73.947562,8600
11223,40.597169,-73.973422,21280
11224,40.57666,-73.988581,12706
11225,40.663056,-73.954226,10703
11226,40.646456,-73.956654,20498
11228,40.616715,-74.013054,9850
11229,40.601175,-73.944465,20253
11230,40.622164,-73.965096,23458
11231,40.677562,-74.004445,6849
11232,40.655984,-74.005304,6500
11233,40.678302,-73.919931,15491
11234,40.60758,-73.910513,19208
11235,40.583915,-73.949669,21020
11236,40.640004,-73.901459,20351
11237,40.704153,-73.920883,11321
11238,40.679179,-73.963804,10444
11239,40.64753,-73.882398,4097
11354,40.76863,-73.827229,10918
11355,40.751459,-73.821014,17580
11356,40.784867,-73.841495,5707
11357,40.78639,-73.810964,8452
11358,40.760475,-73.79637,6818
11360,40.78205,-73.7808,3232
11361,40.763748,-73.772419,4788
11362,40.756533,-73.736995,2887
11363,40.772803,-73.746444,1030
11364,40.745279,-73.760578,5780
11365,40.739775,-73.794806,8088
11366,40.728136,-73.784981,2784
11367,40.730383,-73.826297,8612
11368,40.749594,-73.852604,27039
11369,40.768944,-73.872812,10159
11370,40.763466,-73.891021,7639
11372,40.75169,-73.883634,15890
11373,40.738823,-73.8785,24335
11374,40.726441,-73.861497,10617
11375,40.720931,-73.846184,14046
11377,40.744823,-73.90516,21995
11378,40.724768,-73.909399,8464
11379,40.716758,-73.879597,8398
11385,40.701058,-73.890159,24517
11411,40.694202,-73.735998,4204
11412,40.698095,-73.758984,8891
11413,40.669738,-73.750842,9052
11414,40.658266,-73.844905,7132
11415,40.708323,-73.828212,4344
11416,40.684652,-73.849549,7253
11417,40.676457,-73.844522,7961
11418,40.700236,-73.836062,9340
11419,40.688676,-73.822901,11661
11420,40.673518,-73.817812,11443
11421,40.69405,-73.85867,11601
11422,40.660819,-73.73608,7071
11423,40.71491,-73.767865,7241
11426,40.736521,-73.722384,4159
11427,40.730915,-73.745611,5116
11428,40.721015,-73.742206,4432
11429,40.709772,-73.738731,6352
11432,40.715359,-73.793064,13777
11433,40.69823,-73.787095,8395
11434,40.656866,-73.783386,14269
11435,40.701291,-73.809618,12358
11436,40.675819,-73.796618,4525
11691,40.60133,-73.761357,17504
11692,40.592794,-73.792203,4505
11693,40.603699,-73.821926,2833
11694,40.577599,-73.844553,5049
11697,40.55907,-73.907199,1277
