DATE,CASE_COUNT,CASE_COUNT_7DAY_AVG,HOSPITALIZED_COUNT,HOSP_COUNT_7DAY_AVG,DEATH_COUNT,DEATH_COUNT_7DAY_AVG
02/29/2020,1,0,1,0,0,0
03/01/2020,0,0,1,0,0,0
03/02/2020,0,0,2,0,0,0
03/03/2020,1,0,7,0,0,0
03/04/2020,5,0,2,0,0,0
03/05/2020,3,0,14,0,0,0
03/06/2020,8,3,8,5,0,0
03/07/2020,7,3,8,6,0,0
03/08/2020,21,6,18,8,0,0
03/09/2020,57,15,37,13,0,0
03/10/2020,69,24,60,21,0,0
03/11/2020,155,46,79,32,1,0
03/12/2020,355,96,106,45,0,0
03/13/2020,619,183,151,66,0,0
03/14/2020,642,274,176,90,2,0
03/15/2020,1034,419,209,117,4,1
03/16/2020,2121,714,341,160,8,2
03/17/2020,2452,1054,386,207,8,3
03/18/2020,2971,1456,493,266,20,6
03/19/2020,3706,1935,633,341,24,9
03/20/2020,4007,2419,737,425,47,16
03/21/2020,2639,2704,737,505,45,22
03/22/2020,2580,2925,774,586,49,29
03/23/2020,3570,3132,1136,699,82,39
03/24/2020,4496,3424,1299,830,95,52
03/25/2020,4874,3696,1421,962,124,67
03/26/2020,5044,3887,1532,1091,186,90
03/27/2020,5119,4046,1570,1210,217,114
03/28/2020,3479,4166,1379,1302,272,146
03/29/2020,3560,4306,1504,1406,290,181
03/30/2020,6129,4672,1850,1508,323,215
03/31/2020,5458,4809,1782,1577,386,257
04/01/2020,5449,4891,1738,1622,447,303
04/02/2020,5746,4991,1662,1641,497,347
04/03/2020,5670,5070,1704,1660,499,388
04/04/2020,3866,5125,1442,1669,510,422
04/05/2020,3780,5157,1395,1653,578,463
04/06/2020,6353,5189,1743,1638,576,499
04/07/2020,6044,5273,1583,1610,598,529
04/08/2020,5575,5291,1542,1582,568,547
04/09/2020,5070,5194,1340,1536,559,555
04/10/2020,4510,5028,1286,1476,537,561
04/11/2020,3732,5009,1041,1419,544,566
04/12/2020,2887,4882,945,1354,573,565
04/13/2020,3311,4447,1147,1269,567,564
04/14/2020,4144,4176,977,1183,507,551
04/15/2020,3876,3933,863,1086,455,535
04/16/2020,3530,3713,781,1006,413,514
04/17/2020,3586,3581,785,934,384,492
04/18/2020,2172,3358,583,869,390,470
04/19/2020,2343,3280,534,810,399,445
04/20/2020,3792,3349,627,736,362,416
04/21/2020,3062,3194,585,680,323,389
04/22/2020,3446,3133,512,630,311,369
04/23/2020,2841,3035,443,581,331,357
04/24/2020,2535,2884,461,535,314,347
04/25/2020,1595,2802,322,498,265,329
04/26/2020,1003,2611,312,466,245,307
04/27/2020,2290,2396,369,429,270,294
04/28/2020,2726,2348,349,395,229,281
04/29/2020,2340,2190,308,366,237,270
04/30/2020,2022,2073,251,339,223,255
05/01/2020,1887,1980,261,310,210,240
05/02/2020,1058,1904,204,293,189,229
05/03/2020,787,1873,215,280,177,219
05/04/2020,1550,1767,238,261,157,203
05/05/2020,1512,1594,212,241,152,192
05/06/2020,1397,1459,211,227,151,180
05/07/2020,1238,1347,175,217,141,168
05/08/2020,1079,1232,169,203,131,157
05/09/2020,657,1174,121,192,99,144
05/10/2020,457,1127,104,176,102,133
05/11/2020,1231,1082,180,167,103,126
05/12/2020,1285,1049,110,153,90,117
05/13/2020,1333,1040,128,141,83,107
05/14/2020,1110,1022,142,136,70,97
05/15/2020,873,992,126,130,86,90
05/16/2020,485,968,90,126,84,88
05/17/2020,360,954,81,122,77,85
05/18/2020,895,906,112,113,59,78
05/19/2020,1003,866,115,113,55,73
05/20/2020,1077,829,79,106,79,73
05/21/2020,1069,823,84,98,44,69
05/22/2020,1036,846,100,94,66,66
05/23/2020,455,842,75,92,60,63
05/24/2020,467,857,86,93,48,59
05/25/2020,464,796,79,88,47,57
05/26/2020,1050,803,75,83,36,54
05/27/2020,741,755,76,82,48,50
05/28/2020,646,694,79,81,38,49
05/29/2020,639,637,85,79,43,46
05/30/2020,346,622,54,76,52,45
05/31/2020,230,588,60,73,39,43
06/01/2020,686,620,82,73,34,41
06/02/2020,570,551,63,71,37,42
06/03/2020,515,519,74,71,43,41
06/04/2020,517,500,75,70,33,40
06/05/2020,402,467,55,66,27,38
06/06/2020,247,452,37,64,34,35
06/07/2020,197,448,54,63,25,33
06/08/2020,447,414,62,60,39,34
06/09/2020,419,392,65,60,30,33
06/10/2020,363,370,63,59,32,31
06/11/2020,363,348,50,55,21,30
06/12/2020,409,349,52,55,22,29
06/13/2020,196,342,35,54,15,26
06/14/2020,180,340,46,53,23,26
06/15/2020,380,330,53,52,20,23
